"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2577","@regression disable link preview","chromium","2026-04-07","passed","2026-04-07","","test_page_preview.spec.js","",""
"","1882","@regression test contactUs from main menu","chromium","2026-04-07","passed","2026-04-07","","test_main_menu.spec.js","",""
"","2041","@regression test get Shortened URL by XPASS","chromium","2026-04-07","passed","2026-04-07","","test_wiki_tools.spec.js","",""
"","2178","@smoke wiki search","chromium","2026-04-07","passed","2026-04-07","","test_search.spec.js","",""
"","1782","@regression test contents on page information","chromium","2026-04-07","passed","2026-04-07","","test_wiki_tools.spec.js","",""
"","6","@regression test Language Settings from special pages","chromium","2026-04-07","skipped","2026-04-07","","test_main_menu.spec.js","",""
"","1093","@UI test Appearance - color radiobtns","chromium","2026-04-07","passed","2026-04-07","","test_wiki_appearance.spec.js","",""
"","1989","@regression test Move main menu after refactoring","chromium","2026-04-07","passed","2026-04-07","","test_main_menu.spec.js","",""
"","1185","@UI test Appearance - text radiobtns","chromium","2026-04-07","passed","2026-04-07","","test_wiki_appearance.spec.js","",""
"","3903","@regression test LogIn page by getBy... locators","chromium","2026-04-07","passed","2026-04-07","","test_login.spec.js","",""
"","2230","@regression test Current event from main menu","chromium","2026-04-07","passed","2026-04-07","","test_main_menu.spec.js","",""
"","1810","@regression test Move main menu before refactoring","chromium","2026-04-07","passed","2026-04-07","","test_main_menu.spec.js","",""
"","1771","@smoke all default sections are present on main screen","chromium","2026-04-07","passed","2026-04-07","","test_page_preview.spec.js","",""
"","2543","@regression observe link preview","chromium","2026-04-07","passed","2026-04-07","","test_page_preview.spec.js","",""
"","1777","@regression test Hide main menu","chromium","2026-04-07","passed","2026-04-07","","test_main_menu.spec.js","",""
